customer_id,name,email,phone,age,purchase_amount,last_purchase,status,registration_date,age_group,purchase_category
1,Cliente 1,cliente1@example.com,(11) 975682867,64.0,298.7459529222102,2024-12-29,active,2024-08-18,51-65,Médio
2,Cliente 2,cliente2@example.com,(11) 966755036,46.0,698.0320672652771,2025-11-14,pending,2025-03-14,36-50,Alto
3,Cliente 3,cliente3@example.com,(11) 966882282,50.0,861.5211732173125,2025-03-27,active,2025-10-15,36-50,Alto
4,Cliente 4,N/A,(11) 931081788,49.0,782.0524790044163,2025-09-27,pending,2025-01-18,36-50,Alto
5,Cliente 5,N/A,(11) 923315092,47.0,49.222637094873576,2025-10-06,active,2025-08-25,36-50,Baixo
6,Cliente 6,cliente6@example.com,(11) 945788921,56.0,485.70187778525064,2025-01-04,pending,2025-03-08,51-65,Médio
7,Cliente 7,cliente7@example.com,(11) 936735830,44.0,113.88087663399313,2025-06-01,active,2024-01-26,36-50,Médio
8,Cliente 8,cliente8@example.com,(11) 941632483,53.0,249.6245657039022,2025-07-03,pending,2025-01-18,51-65,Médio
9,Cliente 9,cliente9@example.com,(11) 986737383,46.0,986.795967334475,2024-12-30,active,2025-01-31,36-50,Alto
10,Cliente 10,cliente10@example.com,(11) 998358551,55.0,151.0705874724981,2024-12-16,active,2024-08-25,51-65,Médio
11,Cliente 11,N/A,(11) 998409749,74.0,503.8992719168425,2025-03-30,pending,2025-08-23,65+,Alto
12,Cliente 12,cliente12@example.com,(11) 914981505,50.0,621.9741769749379,2025-10-01,inactive,2024-01-13,36-50,Alto
13,Cliente 13,cliente13@example.com,(11) 923953367,78.0,705.440320838663,2025-09-16,pending,2025-04-27,65+,Alto
14,Cliente 14,cliente14@example.com,(11) 995652971,54.0,564.0521966520449,2025-03-25,inactive,2024-08-02,51-65,Alto
15,Cliente 15,cliente15@example.com,(11) 914521373,44.0,19.673138944991823,2025-05-12,active,2025-07-09,36-50,Baixo
16,Cliente 16,cliente16@example.com,(11) 913344769,72.0,333.196695161552,2025-07-12,pending,2024-08-26,65+,Médio
17,Cliente 17,cliente17@example.com,(11) 986893497,50.0,522.5345269508643,2025-05-16,pending,2024-01-11,36-50,Alto
18,Cliente 18,cliente18@example.com,(11) 940349564,79.0,96.98783415338502,2025-10-12,pending,2025-03-15,65+,Baixo
19,Cliente 19,cliente19@example.com,(11) 952860080,21.0,357.12066189708895,2025-03-19,inactive,2025-12-10,18-25,Médio
20,Cliente 20,cliente20@example.com,(11) 987751354,39.0,42.8710777034529,2025-03-25,inactive,2023-12-21,36-50,Baixo
21,Cliente 21,cliente21@example.com,(11) 972250665,19.0,87.79271218347054,2025-05-08,active,2024-07-19,18-25,Baixo
22,Cliente 22,cliente22@example.com,(11) 976209791,27.0,402.9540434395801,2025-03-04,inactive,2025-03-01,26-35,Médio
23,Cliente 23,cliente23@example.com,(11) 956792155,22.0,141.38859650262975,2025-07-29,inactive,2025-11-29,18-25,Médio
24,Cliente 24,cliente24@example.com,(11) 931498555,76.0,571.8654397789426,2024-12-15,active,2024-04-13,65+,Alto
25,Cliente 25,cliente25@example.com,(11) 970221198,27.0,692.5703194458931,2025-09-10,pending,2024-08-01,26-35,Alto
26,Cliente 26,cliente26@example.com,(11) 989757501,50.0,802.580832117992,2025-08-25,pending,2025-04-18,36-50,Alto
27,Cliente 27,cliente27@example.com,(11) 926861870,71.0,208.148741802362,2025-04-15,active,2025-09-09,65+,Médio
28,Cliente 28,cliente28@example.com,(11) 962286002,55.0,175.80775643647905,2024-12-22,pending,2025-01-08,51-65,Médio
29,Cliente 29,cliente29@example.com,(11) 942049003,30.0,113.52216193105625,2025-07-23,inactive,2025-06-24,26-35,Médio
30,Cliente 30,cliente30@example.com,(11) 971136438,48.0,640.0659470482003,2025-02-24,active,2024-04-15,36-50,Alto
31,Cliente 31,cliente31@example.com,(11) 972194931,64.0,709.4109692220321,2025-04-19,active,2024-02-20,51-65,Alto
32,Cliente 32,cliente32@example.com,N/A,53.0,41.27028337738562,2025-01-06,active,2024-03-28,51-65,Baixo
33,Cliente 33,cliente33@example.com,N/A,62.0,936.8501237812529,2025-02-03,pending,2024-05-24,51-65,Alto
34,Cliente 34,cliente34@example.com,N/A,41.0,61.451570814957684,2025-06-18,active,2024-09-01,36-50,Baixo
35,Cliente 35,cliente35@example.com,(11) 971306900,69.0,545.8833719480598,2025-07-24,active,2024-03-24,65+,Alto
36,Cliente 36,cliente36@example.com,(11) 965831368,73.0,711.9699142564073,2025-06-06,active,2025-07-22,65+,Alto
37,Cliente 37,cliente37@example.com,(11) 920959014,32.0,872.2594325086247,2025-10-24,pending,2025-05-25,26-35,Alto
38,Cliente 38,cliente38@example.com,(11) 966972561,46.0,716.9460628111035,2025-02-13,inactive,2025-06-15,36-50,Alto
39,Cliente 39,N/A,(11) 958900483,25.0,803.7108022390939,2025-06-05,active,2023-12-29,18-25,Alto
40,Cliente 40,cliente40@example.com,(11) 930193880,22.0,346.055690617378,2025-07-29,inactive,2024-12-13,18-25,Médio
41,Cliente 41,cliente41@example.com,(11) 913385357,46.0,816.6768626090471,2025-10-30,pending,2024-08-20,36-50,Alto
42,Cliente 42,cliente42@example.com,(11) 954738553,64.0,89.31369792082839,2024-12-24,pending,2024-05-26,51-65,Baixo
43,Cliente 43,cliente43@example.com,(11) 978574553,21.0,895.8684894999224,2025-09-13,pending,2024-08-28,18-25,Alto
44,Cliente 44,cliente44@example.com,(11) 926845364,29.0,552.1164523921989,2025-02-20,pending,2024-11-23,26-35,Alto
45,Cliente 45,cliente45@example.com,(11) 962157313,49.0,819.1247922628688,2025-01-05,inactive,2024-01-20,36-50,Alto
46,Cliente 46,cliente46@example.com,(11) 921392366,19.0,457.79510167311713,2025-04-11,active,2024-10-21,18-25,Médio
47,Cliente 47,cliente47@example.com,(11) 979778859,44.0,647.1419182445597,2025-06-03,pending,2025-02-07,36-50,Alto
48,Cliente 48,cliente48@example.com,(11) 998883975,48.0,531.138634326752,2025-01-28,pending,2024-03-03,36-50,Alto
49,Cliente 49,cliente49@example.com,(11) 923479854,68.0,734.2736265377786,2025-08-28,inactive,2024-01-18,65+,Alto
50,Cliente 50,cliente50@example.com,N/A,68.0,90.81368221028369,2024-12-14,inactive,2024-12-10,65+,Baixo
51,Cliente 51,cliente51@example.com,(11) 923187277,53.0,69.74856315065816,2025-02-05,pending,2025-12-11,51-65,Baixo
52,Cliente 52,cliente52@example.com,(11) 978979792,53.0,254.632201670045,2025-04-23,active,2025-10-29,51-65,Médio
53,Cliente 53,cliente53@example.com,(11) 947709731,43.0,167.94923331205646,2025-03-22,active,2025-09-05,36-50,Médio
54,Cliente 54,cliente54@example.com,(11) 936939239,60.0,873.0657309262797,2025-01-02,pending,2023-12-23,51-65,Alto
55,Cliente 55,cliente55@example.com,(11) 933027075,44.0,227.02184748446388,2025-11-05,inactive,2025-03-22,36-50,Médio
56,Cliente 56,cliente56@example.com,(11) 991200125,22.0,976.10660326094,2025-02-10,pending,2025-07-25,18-25,Alto
57,Cliente 57,cliente57@example.com,(11) 996191493,37.0,343.5268338533958,2025-11-01,pending,2024-08-18,36-50,Médio
58,Cliente 58,cliente58@example.com,(11) 997796277,28.0,190.2967365318123,2025-11-25,inactive,2025-04-19,26-35,Médio
59,Cliente 59,cliente59@example.com,(11) 976401385,79.0,791.8015220710544,2025-01-02,pending,2025-10-01,65+,Alto
60,Cliente 60,N/A,N/A,27.0,662.1206977458673,2025-03-10,pending,2024-02-14,26-35,Alto
61,Cliente 61,cliente61@example.com,(11) 910271836,49.0,503.2137592886076,2025-02-08,pending,2025-06-05,36-50,Alto
62,Cliente 62,cliente62@example.com,(11) 913584702,55.0,559.809915428255,2025-10-14,inactive,2025-03-19,51-65,Alto
